application_id,citizen_id,scheme_id,application_date,declared_income,declared_land_area,document_count,application_status,previous_application,duplicate_identity_flag,income_mismatch_flag,land_mismatch_flag,multiple_scheme_flag,fraud_label,income_deviation_pct,land_deviation_pct,application_frequency,days_since_previous_application,scheme_claim_count,benefit_overlap_count,document_completeness,citizen_data_consistency,application_consistency_score,suspicious_pattern_score
APP10001,CIT10129,SCH010,2025-01-01,93041,1.04,4,Under Review,False,0,0,0,0,0,10.92,0.95,1,-1,1,0,1.0,95.79,100.0,7
APP10002,CIT10245,SCH005,2025-01-01,106167,10.0,4,Submitted,False,0,0,0,0,0,2.03,0.7,1,-1,1,1,1.0,96.78,99.68,0
APP10003,CIT10106,SCH001,2025-01-01,55807,0.0,4,Under Review,False,0,0,0,0,0,2.7,0.0,1,-1,1,1,1.0,98.84,100.0,0
APP10004,CIT10321,SCH008,2025-01-02,141817,0.0,5,Submitted,False,0,0,0,0,0,0.83,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10005,CIT10122,SCH004,2025-01-02,120622,1.34,5,Submitted,False,0,0,0,0,0,3.3,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10006,CIT10318,SCH009,2025-01-03,31858,0.0,5,Under Review,False,0,0,0,0,0,2.98,0.0,1,-1,1,1,1.0,99.76,100.0,4
APP10007,CIT10182,SCH004,2025-01-03,85450,0.2,4,Under Review,False,0,0,1,0,0,2.98,233.33,1,-1,1,1,1.0,52.98,98.01,26
APP10008,CIT10103,SCH002,2025-01-04,51275,4.36,3,Submitted,False,0,0,1,0,1,1.21,436.0,1,-1,1,1,0.75,53.48,87.1,26
APP10009,CIT10316,SCH003,2025-01-04,55920,0.64,4,Approved,False,0,0,0,0,0,16.82,0.0,1,-1,1,1,1.0,93.48,97.23,4
APP10010,CIT10302,SCH005,2025-01-05,19778,0.0,2,Submitted,False,0,0,0,1,1,5.14,0.0,1,-1,4,4,0.5,98.15,67.05,45
APP10011,CIT10261,SCH012,2025-01-05,105578,0.2,5,Under Review,False,0,0,0,0,0,6.97,0.0,1,-1,1,1,1.0,96.06,100.0,8
APP10012,CIT10113,SCH010,2025-01-06,20831,0.17,3,Approved,False,0,0,0,0,0,1.92,0.0,1,-1,1,0,1.0,100.0,100.0,0
APP10013,CIT10406,SCH006,2025-01-06,137638,2.03,4,Submitted,False,0,0,0,0,0,15.19,2.01,1,-1,1,1,1.0,94.04,100.0,8
APP10014,CIT10474,SCH007,2025-01-07,12466,0.0,5,Under Review,False,0,0,0,0,0,3.88,0.0,1,-1,1,1,1.0,97.61,99.28,1
APP10015,CIT10437,SCH004,2025-01-07,116099,0.0,4,Submitted,False,0,0,0,0,0,3.85,0.0,1,-1,1,1,1.0,100.0,98.23,5
APP10016,CIT10070,SCH007,2025-01-08,17900,0.51,4,Submitted,False,0,0,0,0,0,0.26,2.0,1,-1,1,1,1.0,98.67,100.0,0
APP10017,CIT10160,SCH010,2025-01-08,57067,0.0,5,Submitted,False,0,0,0,0,0,3.26,0.0,1,-1,1,0,1.0,96.57,100.0,0
APP10018,CIT10240,SCH003,2025-01-09,66772,8.57,3,Approved,False,0,0,0,0,0,1.6,2.72,1,-1,1,1,0.75,96.57,82.55,4
APP10019,CIT10011,SCH007,2025-01-09,41612,0.0,5,Submitted,False,0,0,0,0,0,2.4,0.0,1,-1,1,1,1.0,100.0,100.0,0
APP10020,CIT10138,SCH004,2025-01-10,27012,1.88,5,Under Review,False,0,0,0,0,0,3.96,21.29,1,-1,1,1,1.0,87.54,100.0,8
APP10021,CIT10495,SCH008,2025-01-10,90060,0.13,4,Under Review,False,0,0,0,0,0,0.18,0.0,1,-1,1,1,1.0,99.22,97.47,3
APP10022,CIT10167,SCH009,2025-01-10,46066,0.27,2,Approved,False,0,0,0,0,1,2.38,3.85,1,-1,1,1,0.67,98.59,82.91,0
APP10023,CIT10247,SCH007,2025-01-11,14894,0.0,5,Under Review,False,0,0,0,0,0,1.54,0.0,1,-1,1,1,1.0,97.67,98.56,2
APP10024,CIT10354,SCH008,2025-01-11,104935,3.93,4,Under Review,False,0,0,0,0,0,11.66,1.03,1,-1,1,1,1.0,96.13,97.72,3
APP10025,CIT10031,SCH008,2025-01-12,63464,4.96,4,Under Review,False,0,0,0,0,0,3.97,0.2,1,-1,1,1,1.0,98.67,98.82,3
APP10026,CIT10012,SCH002,2025-01-12,18985,0.0,3,Submitted,False,0,0,0,0,0,0.61,0.0,1,-1,1,1,0.75,99.99,83.62,0
APP10027,CIT10243,SCH009,2025-01-13,43323,0.76,1,Approved,False,0,0,0,0,1,6.45,4.11,1,-1,1,1,0.33,96.05,62.41,22
APP10028,CIT10108,SCH006,2025-01-13,19239,0.0,5,Submitted,False,0,0,0,0,0,0.47,0.0,1,-1,1,1,1.0,100.0,98.13,0
APP10029,CIT10336,SCH011,2025-01-14,11880,2.93,4,Submitted,False,0,0,0,0,0,1.0,1.01,1,-1,1,0,1.0,97.61,100.0,0
APP10030,CIT10422,SCH004,2025-01-14,12073,0.0,4,Approved,False,0,0,0,0,0,0.61,0.0,1,-1,1,1,1.0,99.57,100.0,10
APP10031,CIT10323,SCH005,2025-01-15,56416,0.35,5,Under Review,False,0,0,0,0,0,3.31,2.94,1,-1,1,1,1.0,98.89,100.0,0
APP10032,CIT10194,SCH010,2025-01-15,30642,1.25,5,Approved,False,0,0,0,0,0,0.76,0.79,1,-1,1,0,1.0,99.12,98.27,2
APP10033,CIT10308,SCH005,2025-01-16,24505,0.16,5,Submitted,False,0,0,0,0,0,0.56,20.0,1,-1,1,1,1.0,90.3,99.3,5
APP10034,CIT10133,SCH007,2025-01-16,234314,0.0,4,Under Review,False,0,0,0,0,0,2.53,0.0,1,-1,1,1,1.0,98.16,100.0,0
APP10035,CIT10395,SCH009,2025-01-17,160631,0.0,5,Approved,False,0,0,0,0,0,1.01,0.0,1,-1,1,1,1.0,98.79,98.84,2
