citizen_id,age,gender,annual_income,occupation,land_area,family_size,education_level,disability_status,marital_status,employment_status,village,existing_scheme_count,bank_account,ration_card,aadhaar_verified,housing_condition,health_condition,farmer_status,senior_citizen,previous_benefit_received
CIT10001,69,Male,57295,Agricultural Laborer,0.0,3,Secondary,False,Widowed,Seasonal,Kovilpatti,4,True,NPHH,True,Semi-Pucca,Good,False,True,True
CIT10002,32,Male,39460,Unemployed,0.0,3,Secondary,False,Single,Employed,Melur,1,True,NPHH,True,Pucca,Good,False,False,False
CIT10003,78,Female,23353,Unemployed,2.01,3,Higher Secondary,False,Married,Self-Employed,Melur,0,True,AAY,True,Pucca,Good,True,True,False
CIT10004,38,Female,12380,Agricultural Laborer,0.2,7,Graduate,False,Married,Employed,Perur,1,False,NPHH,True,Pucca,Good,True,False,True
CIT10005,41,Male,210583,Farmer,0.0,2,Primary,False,Married,Unemployed,Keeranur,2,True,PHH,True,Semi-Pucca,Good,False,False,False
CIT10006,20,Female,32560,Farmer,0.0,6,Illiterate,False,Married,Unemployed,Vadapalani,1,True,None,True,Kutcha,Good,False,False,True
CIT10007,39,Male,190180,Student,0.0,5,Primary,False,Married,Employed,Sundarpuram,0,True,AAY,True,Kutcha,Chronic Illness,False,False,True
CIT10008,70,Male,201319,Unemployed,2.44,2,Higher Secondary,True,Married,Unemployed,Keeranur,2,True,NPHH,True,Semi-Pucca,Good,True,True,False
CIT10009,19,Male,19819,Farmer,0.28,8,Graduate,False,Single,Employed,Chinnamanur,0,True,PHH,True,Semi-Pucca,Good,True,False,True
CIT10010,47,Male,82223,Agricultural Laborer,0.0,3,Secondary,False,Single,Employed,Vadapalani,1,True,PHH,True,Kutcha,Good,False,False,True
CIT10011,55,Other,42636,Farmer,0.0,2,Primary,False,Married,Self-Employed,Kovilpatti,0,True,NPHH,True,Kutcha,Good,False,False,True
CIT10012,19,Female,18870,Student,0.0,5,Primary,False,Married,Employed,Chinnamanur,1,True,PHH,True,Semi-Pucca,Chronic Illness,False,False,True
CIT10013,81,Male,104193,Farmer,0.0,4,Primary,False,Married,Seasonal,Keeranur,1,True,PHH,False,Pucca,Good,False,True,False
CIT10014,77,Female,12000,Farmer,0.0,4,Primary,False,Married,Self-Employed,Melur,0,False,NPHH,True,Pucca,Good,False,True,False
CIT10015,38,Female,55930,Farmer,0.0,2,Secondary,False,Married,Unemployed,Perur,1,True,PHH,True,Pucca,Good,False,False,False
CIT10016,50,Female,125256,Small Business Owner,0.2,4,Illiterate,False,Widowed,Employed,Vadapalani,1,True,PHH,True,Pucca,Good,True,False,True
CIT10017,75,Male,47289,Agricultural Laborer,0.7,5,Primary,False,Married,Unemployed,Perur,2,True,PHH,True,Semi-Pucca,Good,True,True,True
CIT10018,39,Male,33459,Farmer,0.0,3,Secondary,False,Married,Self-Employed,Chinnamanur,2,True,PHH,True,Pucca,Good,False,False,True
CIT10019,66,Male,13885,Private Service,0.0,3,Illiterate,False,Married,Employed,Vadapalani,1,True,NPHH,True,Semi-Pucca,Good,False,True,False
CIT10020,76,Male,119517,Farmer,0.03,1,Illiterate,False,Married,Self-Employed,Keeranur,2,True,PHH,True,Pucca,Good,False,True,False
CIT10021,59,Male,31348,Agricultural Laborer,0.0,2,Primary,False,Single,Employed,Kovilpatti,0,True,PHH,True,Pucca,Good,False,False,False
CIT10022,77,Female,189924,Private Service,0.0,6,Higher Secondary,False,Single,Self-Employed,Sundarpuram,0,True,NPHH,True,Pucca,Good,False,True,False
CIT10023,32,Male,89829,Agricultural Laborer,3.91,3,Higher Secondary,True,Married,Employed,Perur,0,True,None,True,Kutcha,Good,True,False,False
CIT10024,79,Male,38898,Small Business Owner,1.07,8,Illiterate,False,Married,Seasonal,Perur,1,True,NPHH,True,Kutcha,Chronic Illness,True,True,False
CIT10025,79,Male,64794,Farmer,1.61,3,Secondary,False,Single,Unemployed,Sundarpuram,0,False,PHH,True,Kutcha,Good,True,True,False
CIT10026,64,Male,226157,Unemployed,0.0,4,Primary,False,Married,Employed,Perur,0,True,PHH,True,Kutcha,Good,False,True,True
CIT10027,79,Male,148266,Agricultural Laborer,4.96,3,Secondary,False,Married,Employed,Perur,1,True,AAY,True,Kutcha,Good,True,True,True
CIT10028,68,Male,33170,Unemployed,0.0,3,Secondary,False,Married,Unemployed,Vadapalani,2,True,PHH,False,Kutcha,Good,False,True,False
CIT10029,72,Male,45999,Farmer,0.0,2,Higher Secondary,False,Single,Seasonal,Vadapalani,1,False,NPHH,True,Kutcha,Good,False,True,False
CIT10030,81,Male,42694,Agricultural Laborer,2.62,3,Secondary,False,Single,Employed,Sundarpuram,0,True,PHH,True,Semi-Pucca,Minor Ailment,True,True,False
CIT10031,20,Male,66088,Unemployed,4.95,4,Graduate,True,Married,Employed,Chinnamanur,1,True,PHH,True,Semi-Pucca,Chronic Illness,True,False,False
CIT10032,68,Female,129454,Retired,0.0,8,Graduate,False,Married,Unemployed,Kovilpatti,1,True,AAY,True,Kutcha,Good,False,True,True
CIT10033,24,Male,311195,Farmer,0.0,4,Higher Secondary,True,Widowed,Unemployed,Keeranur,1,True,NPHH,True,Semi-Pucca,Good,False,False,False
CIT10034,38,Male,76381,Unemployed,0.05,2,Secondary,False,Married,Unemployed,Keeranur,0,True,NPHH,True,Semi-Pucca,Good,False,False,False
CIT10035,56,Male,57960,Farmer,4.69,1,Primary,False,Single,Self-Employed,Chinnamanur,1,True,PHH,True,Semi-Pucca,Good,True,False,True
CIT10036,35,Female,86933,Small Business Owner,0.51,2,Primary,True,Single,Employed,Perur,2,False,PHH,True,Pucca,Chronic Illness,False,False,False
CIT10037,21,Male,110379,Farmer,0.47,4,Illiterate,False,Married,Seasonal,Kovilpatti,0,True,NPHH,True,Kutcha,Good,True,False,True
CIT10038,77,Female,58808,Small Business Owner,1.81,5,Primary,False,Single,Unemployed,Sundarpuram,4,True,NPHH,True,Kutcha,Good,True,True,True
CIT10039,31,Female,41787,Agricultural Laborer,0.2,6,Secondary,False,Married,Employed,Chinnamanur,1,True,PHH,True,Semi-Pucca,Good,True,False,False
CIT10040,26,Male,53795,Farmer,0.42,1,Secondary,False,Married,Self-Employed,Sundarpuram,0,True,PHH,True,Kutcha,Good,False,False,False
CIT10041,70,Female,21670,Farmer,0.0,4,Graduate,False,Single,Self-Employed,Vadapalani,1,False,PHH,True,Semi-Pucca,Chronic Illness,False,True,True
CIT10042,19,Female,12000,Farmer,0.57,4,Illiterate,False,Married,Employed,Perur,0,True,None,True,Kutcha,Good,False,False,True
CIT10043,77,Male,89335,Private Service,0.0,4,Illiterate,False,Married,Self-Employed,Melur,0,True,NPHH,True,Kutcha,Good,False,True,False
CIT10044,61,Male,128921,Retired,1.02,4,Higher Secondary,False,Married,Employed,Sundarpuram,1,True,AAY,True,Kutcha,Good,True,True,True
CIT10045,25,Female,12000,Unemployed,4.24,4,Primary,False,Single,Unemployed,Chinnamanur,2,True,PHH,True,Kutcha,Chronic Illness,True,False,False
CIT10046,64,Male,20246,Farmer,0.0,4,Illiterate,False,Married,Seasonal,Perur,3,True,None,True,Semi-Pucca,Chronic Illness,False,True,False
CIT10047,52,Other,12000,Agricultural Laborer,0.39,2,Graduate,False,Married,Employed,Kovilpatti,1,True,PHH,True,Semi-Pucca,Good,False,False,True
CIT10048,53,Male,103063,Student,0.0,5,Higher Secondary,False,Married,Employed,Chinnamanur,0,True,PHH,True,Kutcha,Good,False,False,False
CIT10049,67,Female,22091,Retired,0.61,2,Primary,False,Married,Self-Employed,Vadapalani,1,True,AAY,True,Kutcha,Good,False,True,False
CIT10050,21,Male,12000,Agricultural Laborer,0.0,4,Higher Secondary,False,Married,Seasonal,Keeranur,1,True,PHH,True,Kutcha,Good,False,False,False
CIT10051,19,Female,43485,Unemployed,0.2,3,Secondary,False,Married,Unemployed,Kovilpatti,2,True,PHH,True,Kutcha,Good,True,False,True
CIT10052,23,Female,12000,Retired,0.0,4,Higher Secondary,False,Widowed,Unemployed,Sundarpuram,2,True,PHH,True,Pucca,Good,False,False,True
CIT10053,71,Male,114045,Artisan,1.8,6,Higher Secondary,False,Married,Unemployed,Sundarpuram,2,True,PHH,True,Kutcha,Good,True,True,False
CIT10054,21,Male,107020,Farmer,2.32,6,Illiterate,False,Married,Seasonal,Kovilpatti,1,True,NPHH,True,Semi-Pucca,Good,True,False,False
CIT10055,71,Male,132042,Farmer,1.37,5,Secondary,False,Single,Seasonal,Sundarpuram,1,True,NPHH,True,Pucca,Minor Ailment,True,True,True
CIT10056,80,Male,18704,Agricultural Laborer,0.0,4,Illiterate,False,Single,Employed,Chinnamanur,0,True,NPHH,True,Kutcha,Good,False,True,True
CIT10057,35,Male,121590,Agricultural Laborer,0.0,4,Illiterate,False,Widowed,Unemployed,Perur,4,True,NPHH,True,Semi-Pucca,Good,False,False,True
CIT10058,61,Female,52944,Farmer,1.45,4,Graduate,False,Married,Unemployed,Sundarpuram,0,True,NPHH,True,Pucca,Good,True,True,False
CIT10059,51,Female,25877,Farmer,3.29,5,Secondary,False,Married,Self-Employed,Vadapalani,0,True,PHH,True,Pucca,Good,True,False,True
CIT10060,79,Female,131167,Unemployed,3.83,3,Secondary,False,Married,Self-Employed,Perur,0,True,PHH,True,Semi-Pucca,Good,True,True,False
CIT10061,31,Female,28519,Agricultural Laborer,0.35,7,Higher Secondary,False,Married,Self-Employed,Chinnamanur,2,True,None,True,Pucca,Disabled,False,False,True
CIT10062,65,Female,14473,Farmer,4.98,6,Graduate,False,Widowed,Seasonal,Melur,1,True,PHH,True,Pucca,Good,True,True,False
CIT10063,32,Female,110829,Small Business Owner,0.0,4,Higher Secondary,False,Married,Employed,Sundarpuram,1,True,NPHH,True,Kutcha,Minor Ailment,False,False,False
CIT10064,79,Female,137364,Student,0.0,3,Secondary,True,Widowed,Employed,Sundarpuram,3,True,PHH,True,Pucca,Good,False,True,False
CIT10065,57,Male,21916,Unemployed,0.0,2,Primary,False,Single,Unemployed,Vadapalani,3,False,NPHH,True,Semi-Pucca,Good,False,False,True
CIT10066,70,Male,116551,Farmer,0.0,5,Illiterate,False,Single,Employed,Chinnamanur,0,True,NPHH,True,Semi-Pucca,Good,False,True,False
CIT10067,41,Male,99890,Student,0.0,2,Primary,False,Married,Employed,Vadapalani,0,True,PHH,True,Pucca,Good,False,False,True
CIT10068,43,Male,35978,Small Business Owner,2.33,5,Primary,False,Single,Employed,Keeranur,2,True,PHH,True,Pucca,Good,True,False,True
CIT10069,77,Male,45634,Farmer,1.5,4,Secondary,False,Married,Self-Employed,Chinnamanur,3,True,NPHH,True,Kutcha,Chronic Illness,True,True,False
CIT10070,58,Male,17946,Unemployed,0.5,3,Secondary,False,Married,Seasonal,Kovilpatti,1,True,PHH,True,Kutcha,Chronic Illness,True,False,False
CIT10071,46,Female,12000,Agricultural Laborer,0.0,6,Graduate,False,Married,Unemployed,Kovilpatti,1,True,PHH,True,Semi-Pucca,Chronic Illness,False,False,True
CIT10072,32,Female,43499,Farmer,0.0,4,Secondary,False,Single,Unemployed,Kovilpatti,0,True,NPHH,True,Semi-Pucca,Chronic Illness,False,False,True
CIT10073,62,Male,73884,Agricultural Laborer,1.11,4,Secondary,False,Married,Employed,Vadapalani,2,True,PHH,True,Semi-Pucca,Chronic Illness,True,True,False
CIT10074,82,Male,238374,Farmer,0.0,4,Primary,False,Married,Self-Employed,Kovilpatti,1,True,AAY,True,Pucca,Good,False,True,False
CIT10075,26,Male,62105,Farmer,0.0,3,Illiterate,True,Married,Self-Employed,Chinnamanur,1,True,PHH,False,Pucca,Good,False,False,True
CIT10076,18,Female,35316,Unemployed,2.2,5,Primary,False,Married,Unemployed,Kovilpatti,0,True,PHH,True,Semi-Pucca,Good,True,False,False
CIT10077,25,Male,101464,Farmer,0.17,3,Higher Secondary,False,Married,Employed,Melur,3,True,NPHH,True,Kutcha,Good,False,False,True
CIT10078,80,Female,112583,Retired,2.39,6,Primary,False,Married,Employed,Kovilpatti,1,True,PHH,True,Semi-Pucca,Chronic Illness,True,True,False
CIT10079,28,Male,14055,Small Business Owner,0.82,6,Secondary,False,Married,Employed,Sundarpuram,0,True,PHH,True,Semi-Pucca,Good,True,False,False
CIT10080,25,Female,118211,Farmer,0.65,3,Secondary,False,Single,Unemployed,Keeranur,1,True,PHH,True,Semi-Pucca,Good,False,False,True
CIT10081,52,Female,108865,Farmer,0.0,4,Illiterate,True,Married,Self-Employed,Vadapalani,1,True,PHH,True,Semi-Pucca,Disabled,False,False,False
CIT10082,52,Male,19673,Small Business Owner,0.98,4,Primary,False,Married,Seasonal,Perur,1,True,PHH,True,Semi-Pucca,Good,True,False,False
CIT10083,50,Female,14173,Small Business Owner,0.0,3,Secondary,True,Married,Unemployed,Keeranur,2,True,PHH,True,Kutcha,Good,False,False,False
CIT10084,22,Female,92877,Farmer,0.0,8,Primary,False,Divorced,Self-Employed,Melur,1,True,PHH,True,Kutcha,Chronic Illness,False,False,False
CIT10085,58,Male,20042,Farmer,0.2,1,Higher Secondary,False,Married,Seasonal,Vadapalani,3,True,PHH,True,Semi-Pucca,Disabled,True,False,False
CIT10086,45,Male,68973,Unemployed,2.56,3,Secondary,False,Married,Employed,Chinnamanur,0,True,NPHH,True,Kutcha,Good,True,False,True
CIT10087,24,Female,132409,Farmer,0.0,4,Secondary,False,Married,Employed,Vadapalani,0,True,NPHH,True,Kutcha,Chronic Illness,False,False,True
CIT10088,29,Female,114572,Artisan,0.0,4,Higher Secondary,False,Married,Seasonal,Sundarpuram,0,True,PHH,True,Kutcha,Minor Ailment,False,False,True
CIT10089,51,Female,29523,Student,0.08,4,Secondary,False,Married,Employed,Chinnamanur,1,True,NPHH,True,Semi-Pucca,Minor Ailment,False,False,False
CIT10090,50,Female,166156,Agricultural Laborer,0.0,5,Graduate,False,Married,Seasonal,Keeranur,1,True,AAY,True,Kutcha,Disabled,False,False,False
CIT10091,65,Female,53606,Farmer,3.49,4,Primary,False,Married,Seasonal,Keeranur,2,True,NPHH,True,Pucca,Good,True,True,False
CIT10092,40,Other,138912,Farmer,0.0,4,Secondary,False,Widowed,Self-Employed,Kovilpatti,2,True,NPHH,True,Semi-Pucca,Good,False,False,True
CIT10093,79,Female,12000,Unemployed,0.0,2,Primary,False,Married,Self-Employed,Chinnamanur,1,False,PHH,True,Semi-Pucca,Good,False,True,False
CIT10094,54,Female,96831,Farmer,0.1,3,Primary,False,Single,Self-Employed,Sundarpuram,4,True,AAY,True,Semi-Pucca,Good,False,False,False
CIT10095,61,Female,93678,Farmer,1.27,3,Illiterate,False,Married,Self-Employed,Kovilpatti,0,True,PHH,True,Kutcha,Good,True,True,False
CIT10096,52,Male,182787,Small Business Owner,0.0,3,Secondary,True,Married,Employed,Kovilpatti,2,True,PHH,True,Semi-Pucca,Good,False,False,True
CIT10097,82,Female,82935,Farmer,0.0,4,Primary,False,Widowed,Employed,Vadapalani,1,True,NPHH,True,Pucca,Good,False,True,True
CIT10098,64,Female,58051,Agricultural Laborer,0.0,2,Primary,False,Married,Employed,Keeranur,1,True,PHH,True,Pucca,Good,False,True,False
CIT10099,20,Male,39632,Unemployed,0.0,3,Graduate,False,Married,Self-Employed,Kovilpatti,2,True,PHH,True,Pucca,Good,False,False,False
CIT10100,18,Female,12521,Agricultural Laborer,0.0,3,Higher Secondary,False,Married,Employed,Melur,1,True,NPHH,True,Semi-Pucca,Chronic Illness,False,False,True
CIT10101,22,Male,12000,Private Service,0.0,6,Secondary,False,Married,Employed,Melur,0,True,NPHH,True,Kutcha,Good,False,False,False
CIT10102,31,Female,16335,Unemployed,0.0,6,Higher Secondary,True,Widowed,Employed,Keeranur,1,True,NPHH,True,Kutcha,Good,False,False,True
CIT10103,44,Female,51902,Farmer,0.0,4,Graduate,True,Married,Self-Employed,Melur,1,True,AAY,True,Semi-Pucca,Good,False,False,False
CIT10104,26,Female,60060,Agricultural Laborer,2.11,6,Secondary,False,Married,Seasonal,Vadapalani,2,True,PHH,False,Kutcha,Good,True,False,False
CIT10105,32,Male,65051,Agricultural Laborer,0.38,5,Primary,False,Divorced,Seasonal,Sundarpuram,1,True,PHH,True,Kutcha,Minor Ailment,False,False,True
CIT10106,59,Female,54340,Small Business Owner,0.0,4,Higher Secondary,False,Widowed,Unemployed,Perur,3,True,NPHH,True,Pucca,Good,False,False,False
CIT10107,68,Female,58345,Farmer,0.77,1,Secondary,True,Married,Seasonal,Kovilpatti,1,True,PHH,True,Kutcha,Good,True,True,True
CIT10108,80,Male,19329,Retired,0.0,5,Primary,False,Married,Self-Employed,Perur,1,True,NPHH,True,Kutcha,Good,False,True,True
CIT10109,69,Male,35669,Small Business Owner,0.26,4,Secondary,False,Married,Unemployed,Sundarpuram,2,True,PHH,True,Pucca,Good,True,True,False
CIT10110,21,Female,90463,Agricultural Laborer,1.59,4,Primary,False,Married,Unemployed,Sundarpuram,1,True,PHH,True,Pucca,Good,True,False,True
CIT10111,40,Male,171203,Small Business Owner,0.0,5,Graduate,True,Married,Employed,Vadapalani,3,True,PHH,True,Kutcha,Good,False,False,True
CIT10112,32,Male,36877,Agricultural Laborer,0.0,4,Primary,False,Married,Seasonal,Melur,1,True,NPHH,True,Pucca,Good,False,False,True
CIT10113,60,Female,20438,Unemployed,0.17,4,Graduate,False,Married,Employed,Melur,1,True,PHH,True,Pucca,Disabled,False,True,True
CIT10114,46,Male,79293,Small Business Owner,4.48,6,Graduate,False,Married,Unemployed,Sundarpuram,0,True,PHH,True,Semi-Pucca,Good,True,False,True
CIT10115,53,Female,18843,Farmer,0.3,3,Secondary,True,Married,Self-Employed,Vadapalani,1,True,PHH,True,Kutcha,Good,False,False,True
CIT10116,30,Male,52366,Farmer,0.2,4,Secondary,False,Single,Employed,Vadapalani,0,True,PHH,True,Kutcha,Good,True,False,False
CIT10117,49,Female,70395,Artisan,1.29,4,Primary,False,Single,Employed,Keeranur,2,True,PHH,True,Semi-Pucca,Good,True,False,True
CIT10118,76,Male,15340,Small Business Owner,0.92,4,Illiterate,False,Married,Self-Employed,Chinnamanur,0,True,PHH,True,Kutcha,Good,True,True,False
CIT10119,45,Female,33753,Retired,0.0,5,Illiterate,False,Single,Employed,Kovilpatti,0,True,PHH,True,Pucca,Good,False,False,True
CIT10120,83,Male,45215,Farmer,0.0,1,Higher Secondary,False,Single,Self-Employed,Chinnamanur,0,False,PHH,True,Pucca,Chronic Illness,False,True,True
CIT10121,59,Female,12000,Farmer,2.25,4,Secondary,False,Married,Unemployed,Melur,0,True,PHH,True,Pucca,Good,True,False,True
CIT10122,62,Male,116763,Farmer,1.34,3,Illiterate,True,Single,Self-Employed,Sundarpuram,0,True,NPHH,True,Pucca,Chronic Illness,True,True,False
CIT10123,79,Female,78406,Small Business Owner,1.05,4,Primary,False,Single,Self-Employed,Keeranur,2,True,AAY,True,Pucca,Good,True,True,False
CIT10124,74,Female,47639,Agricultural Laborer,0.98,4,Graduate,True,Married,Unemployed,Perur,2,True,PHH,True,Kutcha,Minor Ailment,False,True,False
CIT10125,23,Female,136084,Farmer,0.0,5,Primary,False,Married,Unemployed,Melur,2,True,PHH,True,Kutcha,Good,False,False,True
CIT10126,45,Female,12000,Small Business Owner,0.4,2,Graduate,False,Married,Self-Employed,Kovilpatti,2,True,PHH,True,Semi-Pucca,Chronic Illness,False,False,False
CIT10127,45,Male,12000,Agricultural Laborer,0.09,4,Primary,False,Single,Self-Employed,Vadapalani,0,True,NPHH,True,Kutcha,Good,False,False,True
CIT10128,61,Female,17622,Farmer,0.04,3,Secondary,False,Married,Self-Employed,Sundarpuram,2,True,PHH,True,Semi-Pucca,Disabled,False,True,True
