Feature,Importance
application_consistency_score,0.5372067865917667
citizen_data_consistency,0.2741145756563021
benefit_overlap_count,0.056869548485484755
document_count,0.05273043635912072
application_frequency,0.03874489775547839
income_ratio_diff,0.02495118249815075
declared_land_area,0.009468920546548177
land_area,0.005868770059031417
income_deviation_pct,4.4882048117036155e-05
existing_scheme_count,2.086073287635365e-17
land_deviation_pct,0.0
document_completeness,0.0
days_since_previous_application,0.0
scheme_claim_count,0.0
declared_income,0.0
annual_income,0.0
family_size,0.0
land_diff,0.0
